candidate_id,rank,final_score,semantic_score,experience_score,behavioral_score,context_score,explanation
CID-0161,1,0.6497,0.3712,0.9959,0.6686,0.7902,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0425,2,0.629,0.1683,1.0,0.9182,0.8536,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Bengaluru).
CID-0006,3,0.621,0.1946,0.9709,0.9698,0.7098,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Bengaluru).
CID-0482,4,0.6178,0.2655,1.0,0.8432,0.62,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0194,5,0.6177,0.2944,0.6612,0.9256,0.9971,"Limited direct skill match with JD. 12y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Pune)."
CID-0491,6,0.6075,0.1384,1.0,0.9087,0.8024,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0438,7,0.607,0.1876,1.0,0.9026,0.6763,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0454,8,0.6051,0.1776,0.9842,0.6901,1.0,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. location match (Remote — India).
CID-0246,9,0.6038,0.2053,0.904,0.8285,0.8666,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Bengaluru).
CID-0162,10,0.6016,0.2599,0.8629,0.7862,0.8313,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Remote — India)."
CID-0127,11,0.5975,0.2403,1.0,0.6066,0.8668,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. location match (Remote — India).
CID-0318,12,0.5964,0.2347,0.9015,0.7414,0.859,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Hyderabad)."
CID-0237,13,0.5938,0.1857,1.0,0.8247,0.6975,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Remote — India).
CID-0263,14,0.5935,0.219,0.998,0.9363,0.4607,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0303,15,0.5898,0.2743,0.7208,1.0,0.6657,"Limited direct skill match with JD. 17y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0129,16,0.587,0.2137,0.8605,0.8605,0.7622,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0207,17,0.5865,0.1365,0.9972,0.663,1.0,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. location match (Hyderabad).
CID-0178,18,0.5862,0.148,1.0,0.6563,0.9713,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. location match (Remote — India).
CID-0086,19,0.5821,0.1226,0.9862,0.831,0.8019,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0351,20,0.5811,0.245,1.0,0.6649,0.6672,Limited direct skill match with JD. 8y experience matches the 5-8y requirement.
CID-0136,21,0.5803,0.1515,0.9531,0.7675,0.8529,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Remote — India).
CID-0294,22,0.5799,0.1766,1.0,0.6951,0.8016,Limited direct skill match with JD. 5y experience matches the 5-8y requirement.
CID-0286,23,0.579,0.1012,0.8661,0.966,0.8588,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Remote — India).
CID-0147,24,0.5785,0.1512,0.8699,0.9732,0.706,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Pune)."
CID-0199,25,0.5781,0.2606,0.9725,0.4902,0.8849,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. location match (Remote — India).
CID-0377,26,0.5772,0.1824,0.9948,0.7797,0.6642,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0124,27,0.5758,0.0906,1.0,0.8285,0.8258,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0184,28,0.5757,0.1352,0.8736,0.8896,0.8355,Limited direct skill match with JD. 4y experience (below 5-8y target range). highly active profile with recent updates. location match (Pune).
CID-0015,29,0.5747,0.1749,0.9084,0.8881,0.6667,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0472,30,0.5742,0.1686,0.7693,0.9785,0.7916,"Limited direct skill match with JD. 12y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0331,31,0.5735,0.3258,0.7243,0.8196,0.6543,"Limited direct skill match with JD. 11y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0037,32,0.5724,0.1186,1.0,0.7806,0.7921,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0325,33,0.5716,0.196,0.8735,0.8307,0.7248,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Hyderabad)."
CID-0478,34,0.5716,0.2466,1.0,0.6279,0.6491,Limited direct skill match with JD. 8y experience matches the 5-8y requirement.
CID-0011,35,0.5712,0.2348,0.8741,0.7563,0.7164,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Hyderabad).
CID-0404,36,0.5704,0.1648,0.9722,0.7713,0.7143,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Hyderabad).
CID-0423,37,0.5698,0.2396,0.9825,0.5511,0.7874,Limited direct skill match with JD. 7y experience matches the 5-8y requirement.
CID-0440,38,0.5696,0.177,1.0,0.7804,0.6184,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0174,39,0.5694,0.0766,0.9581,0.9166,0.7728,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0293,40,0.5685,0.2628,0.7608,0.8706,0.6605,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0135,41,0.5682,0.1924,0.9038,0.7339,0.7901,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0083,42,0.568,0.2117,0.6622,1.0,0.7854,"Limited direct skill match with JD. 13y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0477,43,0.5675,0.207,0.8902,0.9267,0.5121,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0185,44,0.5673,0.1634,1.0,0.7236,0.7147,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Hyderabad).
CID-0092,45,0.5672,0.1661,0.8973,0.7211,0.8814,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates. location match (Pune).
CID-0316,46,0.5664,0.1987,1.0,0.7901,0.5259,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0166,47,0.5649,0.232,0.8735,0.744,0.6996,Limited direct skill match with JD. 4y experience (below 5-8y target range). highly active profile with recent updates. location match (Pune).
CID-0345,48,0.5644,0.2835,0.9443,0.5846,0.6534,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority)."
CID-0151,49,0.5639,0.255,1.0,0.5704,0.6524,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0159,50,0.5638,0.0913,0.709,1.0,1.0,"Limited direct skill match with JD. 14y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Pune)."
CID-0452,51,0.5621,0.21,0.991,0.7783,0.498,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0070,52,0.5612,0.2392,1.0,0.6822,0.527,Limited direct skill match with JD. 8y experience matches the 5-8y requirement.
CID-0224,53,0.5592,0.0951,0.9186,0.8062,0.8687,Limited direct skill match with JD. 4y experience (below 5-8y target range). highly active profile with recent updates. location match (Remote — India).
CID-0087,54,0.5578,0.1246,0.7352,0.9858,0.8467,"Limited direct skill match with JD. 15y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Bengaluru)."
CID-0494,55,0.5572,0.1517,0.9903,0.7716,0.6306,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0181,56,0.5566,0.2013,0.7278,1.0,0.6276,"Limited direct skill match with JD. 13y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0064,57,0.5558,0.2447,0.8897,0.6906,0.6494,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0389,58,0.5556,0.2114,0.7093,0.8107,0.8771,"Limited direct skill match with JD. 13y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Hyderabad)."
CID-0084,59,0.5541,0.1722,0.8707,0.8715,0.6215,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0290,60,0.554,0.0942,0.7657,0.9943,0.8402,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Hyderabad)."
CID-0458,61,0.5535,0.2461,0.6069,0.9813,0.7141,"Limited direct skill match with JD. 12y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Bengaluru)."
CID-0346,62,0.5533,0.284,0.8639,0.7652,0.4714,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0179,63,0.5528,0.2898,0.6917,0.8318,0.6503,"Limited direct skill match with JD. 17y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0242,64,0.5525,0.2309,0.8892,0.697,0.6565,Limited direct skill match with JD. 5y experience matches the 5-8y requirement.
CID-0252,65,0.5522,0.1585,0.8956,0.8298,0.6595,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0163,66,0.5511,0.1607,0.8841,0.7246,0.806,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0172,67,0.551,0.2049,0.8804,0.7642,0.6408,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0360,68,0.551,0.1741,0.8852,0.8209,0.6395,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0005,69,0.5506,0.2384,1.0,0.6528,0.4979,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0298,70,0.5506,0.1394,0.868,0.9168,0.6299,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0266,71,0.5502,0.2205,0.6358,0.8679,0.8633,"Limited direct skill match with JD. 12y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Hyderabad)."
CID-0211,72,0.5501,0.1499,1.0,0.587,0.8184,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. location match (Bengaluru).
CID-0279,73,0.5494,0.1602,0.8681,0.836,0.6743,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0133,74,0.5491,0.2524,0.7015,0.9729,0.5212,"Limited direct skill match with JD. 13y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0041,75,0.549,0.2692,0.6522,0.8717,0.6931,"Limited direct skill match with JD. 11y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0240,76,0.549,0.1953,1.0,0.7233,0.5084,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0449,77,0.5484,0.127,0.9888,0.7724,0.6397,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0223,78,0.5482,0.1346,1.0,0.7465,0.6339,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0197,79,0.5481,0.2077,0.7375,0.8048,0.7981,"Limited direct skill match with JD. 19y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0074,80,0.548,0.1568,0.9882,0.7226,0.6247,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0204,81,0.5478,0.195,1.0,0.7289,0.4936,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0445,82,0.5475,0.1336,0.8901,0.7333,0.8325,Limited direct skill match with JD. 4y experience (below 5-8y target range). highly active profile with recent updates. location match (Pune).
CID-0305,83,0.5471,0.2214,0.9865,0.564,0.6605,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0481,84,0.5469,0.1819,0.7395,0.96,0.6482,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0288,85,0.5456,0.1668,0.8833,0.7852,0.6732,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0095,86,0.5454,0.2033,0.7446,0.7628,0.8357,"Limited direct skill match with JD. 12y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0464,87,0.545,0.2159,1.0,0.5746,0.6249,Limited direct skill match with JD. 8y experience matches the 5-8y requirement.
CID-0312,88,0.5443,0.1482,0.8932,0.8074,0.6685,Limited direct skill match with JD. 4y experience (below 5-8y target range). highly active profile with recent updates.
CID-0292,89,0.5437,0.1174,0.9947,0.5906,0.8665,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. location match (Hyderabad).
CID-0212,90,0.5435,0.1566,0.8483,0.8473,0.6619,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0390,91,0.5435,0.2334,0.7042,0.9755,0.5265,"Limited direct skill match with JD. 17y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0079,92,0.5434,0.1904,1.0,0.7418,0.4592,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0188,93,0.5434,0.2048,1.0,0.5344,0.6975,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0171,94,0.5432,0.1456,0.6901,0.9196,0.857,"Limited direct skill match with JD. 20y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Remote — India)."
CID-0412,95,0.543,0.1038,0.8984,0.7544,0.84,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0144,96,0.5427,0.1449,0.8284,0.7234,0.8861,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Hyderabad)."
CID-0493,97,0.5426,0.1532,0.7184,0.9864,0.6965,"Limited direct skill match with JD. 17y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0078,98,0.5424,0.2458,0.8419,0.7991,0.4919,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0146,99,0.5424,0.2318,0.9188,0.6181,0.6426,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority)."
CID-0281,100,0.5424,0.1849,0.7152,0.8295,0.8249,"Limited direct skill match with JD. 11y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Pune)."
CID-0299,101,0.5422,0.1009,1.0,0.7477,0.6821,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0356,102,0.5419,0.1604,0.8761,0.8074,0.6481,Limited direct skill match with JD. 4y experience (below 5-8y target range). highly active profile with recent updates.
CID-0376,103,0.5418,0.1863,0.9554,0.7511,0.5214,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0459,104,0.5417,0.1328,0.9802,0.8566,0.4817,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0220,105,0.5416,0.1792,0.8041,0.6938,0.8674,Limited direct skill match with JD. 3y experience (below 5-8y target range). location match (Bengaluru).
CID-0257,106,0.5411,0.2289,1.0,0.5095,0.6507,Limited direct skill match with JD. 5y experience matches the 5-8y requirement.
CID-0186,107,0.5409,0.1853,0.9654,0.6192,0.677,Limited direct skill match with JD. 8y experience matches the 5-8y requirement.
CID-0379,108,0.5409,0.0647,0.956,0.8745,0.6744,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0319,109,0.5404,0.113,0.8962,0.8158,0.7201,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Pune)."
CID-0443,110,0.5403,0.1296,0.7158,1.0,0.7301,"Limited direct skill match with JD. 14y experience (exceeds requirement, strong seniority). highly active profile with recent updates. location match (Bengaluru)."
CID-0110,111,0.5386,0.1405,1.0,0.5174,0.8597,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. location match (Hyderabad).
CID-0048,112,0.5384,0.2258,0.9003,0.6217,0.6576,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority)."
CID-0117,113,0.5381,0.1799,0.8773,0.7236,0.6806,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0430,114,0.538,0.1922,0.7567,0.8953,0.6192,Limited direct skill match with JD. 4y experience (below 5-8y target range). highly active profile with recent updates.
CID-0039,115,0.5374,0.16,0.7692,0.7983,0.8098,"Limited direct skill match with JD. 11y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0269,116,0.5367,0.2073,0.7544,0.8663,0.6126,"Limited direct skill match with JD. 12y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0387,117,0.5363,0.0929,0.869,0.9408,0.6246,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0427,118,0.5362,0.0671,0.9321,0.9069,0.6332,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0352,119,0.5361,0.0811,0.8826,0.6763,0.9849,"Limited direct skill match with JD. 10y experience (exceeds requirement, strong seniority). location match (Pune)."
CID-0248,120,0.536,0.1338,0.8684,0.8361,0.6547,Limited direct skill match with JD. 4y experience (below 5-8y target range). highly active profile with recent updates.
CID-0058,121,0.5359,0.2025,0.9225,0.6292,0.6562,Limited direct skill match with JD. 7y experience matches the 5-8y requirement.
CID-0218,122,0.5359,0.1445,1.0,0.6635,0.6357,Limited direct skill match with JD. 8y experience matches the 5-8y requirement.
CID-0339,123,0.5359,0.209,0.7522,0.8415,0.6396,"Limited direct skill match with JD. 12y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0113,124,0.5351,0.1349,0.978,0.5604,0.8301,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. location match (Bengaluru).
CID-0060,125,0.535,0.0762,0.9904,0.809,0.6344,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0348,126,0.5348,0.1714,0.7239,0.9381,0.6507,"Limited direct skill match with JD. 19y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0071,127,0.5345,0.1383,0.9868,0.6836,0.6383,Limited direct skill match with JD. 7y experience matches the 5-8y requirement.
CID-0205,128,0.5339,0.1949,0.8741,0.723,0.6188,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0490,129,0.5338,0.1361,1.0,0.7763,0.4942,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0358,130,0.5337,0.2373,0.7036,0.8404,0.6321,"Limited direct skill match with JD. 17y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0145,131,0.5336,0.1611,0.9945,0.7182,0.5128,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0093,132,0.5334,0.0898,1.0,0.643,0.7924,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0190,133,0.5334,0.1691,0.8745,0.7352,0.6675,Limited direct skill match with JD. 5y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0327,134,0.5332,0.1973,0.8575,0.6872,0.6833,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. location match (Remote — India).
CID-0463,135,0.5331,0.2263,0.8877,0.7251,0.5039,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0139,136,0.5329,0.1387,0.7806,0.828,0.7781,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0329,137,0.5326,0.1065,0.9925,0.5636,0.8608,Limited direct skill match with JD. 8y experience matches the 5-8y requirement. location match (Hyderabad).
CID-0385,138,0.5325,0.1587,0.9871,0.6118,0.6659,Limited direct skill match with JD. 6y experience matches the 5-8y requirement.
CID-0239,139,0.5321,0.2434,0.6926,0.6505,0.8764,"Limited direct skill match with JD. 13y experience (exceeds requirement, strong seniority). location match (Bengaluru)."
CID-0326,140,0.532,0.1756,0.9725,0.7396,0.4712,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0461,141,0.5309,0.218,1.0,0.4855,0.6437,Limited direct skill match with JD. 7y experience matches the 5-8y requirement.
CID-0496,142,0.5303,0.1828,1.0,0.5245,0.682,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. location match (Bengaluru).
CID-0030,143,0.53,0.0642,1.0,0.6771,0.7927,Limited direct skill match with JD. 5y experience matches the 5-8y requirement.
CID-0353,144,0.53,0.1887,1.0,0.5266,0.6611,Limited direct skill match with JD. 5y experience matches the 5-8y requirement.
CID-0109,145,0.5297,0.2059,0.925,0.5936,0.6493,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority)."
CID-0131,146,0.5289,0.1636,1.0,0.7135,0.4718,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0203,147,0.5284,0.1228,0.992,0.5151,0.8549,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. location match (Pune).
CID-0395,148,0.5275,0.1088,0.8519,0.7196,0.8474,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0282,149,0.5271,0.2265,0.9964,0.5739,0.4838,Limited direct skill match with JD. 8y experience matches the 5-8y requirement.
CID-0241,150,0.527,0.1139,0.9766,0.7309,0.6073,Limited direct skill match with JD. 7y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0254,151,0.5267,0.1895,0.8776,0.7934,0.4855,Limited direct skill match with JD. 6y experience matches the 5-8y requirement. highly active profile with recent updates.
CID-0268,152,0.5267,0.1676,0.9376,0.7544,0.4958,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
CID-0195,153,0.526,0.1475,0.8779,0.7483,0.6524,"Limited direct skill match with JD. 9y experience (exceeds requirement, strong seniority). highly active profile with recent updates."
